Rank,School,District,Title 1,Math,Reading,Science,Math Growth,Reading Growth,Absenteeism,Math Gap,ELA Gap,Final Score,Grade
63,Kahakai Elementary,HAW,Yes,53,60,51,56,60,17,31,36,232.8,C+
64,Kīpapa Elementary,CEN,Yes,48,58,70,55,54,10,42,36,232.0,C+
65,Ho‘okena Elementary,HAW,Yes,32,38,39,70,68,20,N/A,N/A,231.7,C+
66,Iroquois Point Elementary,LEE,No,54,60,46,60,55,11,42,43,231.1,C+
67,Kalihiwaena Elementary,HON,Yes,34,33,42,74,61,14,48,40,230.0,C+
68,Mānana Elementary,LEE,Yes,58,69,79,49,47,5,47,41,229.8,C+
69,Ka‘a‘awa Elementary,WIN,Yes,54,63,69,44,58,6,N/A,N/A,229.5,C+
70,He‘eia Elementary,WIN,Yes,47,57,53,60,56,11,42,47,229.3,C+
71,Lā‘ie Elementary,WIN,Yes,66,62,66,52,44,9,39,33,229.2,C+
72,Mōkapu Elementary,WIN,No,55,61,74,50,45,6,32,36,228.4,C+
73,Hickam Elementary,CEN,No,71,76,85,43,46,5,49,53,228.2,C+
73,Solomon Elementary,CEN,Yes,51,52,63,52,48,6,23,22,228.2,C+
75,Kīlauea Elementary,KAU,Yes,46,56,54,59,57,18,45,40,228.1,C
76,August Ahrens Elementary,LEE,Yes,49,48,44,58,53,8,31,35,227.6,C
77,Waimalu Elementary,CEN,Yes,47,62,65,52,54,14,49,32,227.4,C
78,Lunalilo Elementary,HON,Yes,47,43,59,66,46,9,39,40,226.3,C
79,Hōnaunau Elementary,HAW,Yes,41,41,62,60,63,23,N/A,N/A,226.2,C
80,Lincoln Elementary,HON,Yes,50,55,60,70,44,16,42,44,225.8,C
81,Sunset Beach Elementary,WIN,No,57,66,72,52,44,26,33,32,225.5,C
82,Waiakeawaena Elementary,HAW,Yes,42,48,58,63,54,15,46,42,225.4,C
83,Kilohana Elementary,MAU,Yes,55,50,50,62,61,13,N/A,N/A,225.1,C
83,Hanalei Elementary,KAU,No,59,65,66,45,48,26,29,19,225.1,C
85,Ha‘ikū Elementary,MAUI,Yes,52,56,71,51,52,20,40,37,224.3,C
86,Keoneula Elementary,LEE,No,38,51,44,54,61,8,42,38,223.9,C
87,Pōhākea Elementary,LEE,Yes,46,44,54,66,52,15,42,54,223.5,C
88,Kainalu Elementary,WIN,No,56,67,72,47,53,12,50,40,223.3,C
88,Waiākea Elementary,HAW,Yes,52,52,54,65,49,14,54,47,223.3,C
90,Mililani Waena Elementary,CEN,No,65,70,75,30,49,8,34,25,222.2,C
91,Pearl Harbor Elementary,CEN,Yes,44,53,42,55,49,11,35,24,220.3,C
92,Makawao Elementary,MAUI,Yes,55,55,55,41,59,13,34,39,220.2,C
93,Salt Lake Elementary,CEN,Yes,45,53,69,48,49,9,36,36,219.6,C
94,Kīhei Elementary,MAUI,Yes,56,58,53,48,46,15,26,29,219.5,C
95,Pu‘uhale Elementary,HON,Yes,43,45,44,64,55,13,N/A,N/A,219.2,C
95,Pomaika‘i Elementary,MAUI,No,59,59,65,42,57,9,50,48,219.2,C
95,Waialua Elementary,CEN,Yes,59,62,79,40,49,11,28,31,219.2,C
98,Kailua Elementary,WIN,Yes,51,66,86,45,46,13,45,40,217.6,C-
99,Hale Kula Elementary,CEN,No,43,55,51,44,52,8,35,25,217.0,C-
100,Ka‘ahumanu Elementary,HON,Yes,43,48,55,54,53,17,43,41,215.2,C-
101,Kalei‘ōpu‘u Elementary,LEE,Yes,45,44,47,64,45,12,47,40,215.1,C-
102,Kalihi Kai Elementary,HON,Yes,38,48,58,56,47,11,46,32,214.8,C-
103,Keaukaha Elementary,HAW,Yes,39,44,48,52,59,10,52,40,214.1,C-
104,Wai‘alae Elementary,CHAR,No,63,57,29,60,43,9,44,51,213.2,C-
105,Kula Elementary,MAUI,Yes,51,59,66,50,45,14,44,51,212.7,C-
106,Kūhiō Elementary,HON,Yes,52,65,37,53,54,10,N/A,N/A,212.6,C-
107,‘Aikahi Elementary,WIN,No,57,61,75,41,46,6,54,50,211.9,C-
108,Fern Elementary,HON,Yes,35,37,55,58,54,14,N/A,N/A,211.6,C-
109,Hōlualoa Elementary,HAW,Yes,42,55,57,44,52,17,31,40,211.5,C-
110,Lihikai Elementary,MAUI,Yes,47,58,51,45,52,8,43,35,211.4,C-
111,Pukalani Elementary,MAUI,Yes,45,47,60,45,55,14,39,47,210.9,C-
112,Honowai Elementary,LEE,Yes,38,34,33,54,61,8,42,49,210.8,C-
113,Kapunahala Elementary,WIN,Yes,48,62,79,42,47,11,58,45,210.0,C-
114,Kaumana Elementary,HAW,Yes,42,48,34,56,49,10,42,42,209.7,C-
115,Blanche Pope Elementary,WIN,Yes,47,50,41,54,60,25,N/A,N/A,209.3,C-
116,Kaumuali‘i Elementary,KAU,Yes,53,57,71,41,45,9,47,45,207.2,C-
117,Waipahu Elementary,LEE,Yes,32,33,46,63,57,16,61,60,205.1,C-
118,Jefferson Elementary,HON,Yes,44,50,48,57,47,14,57,42,204.9,C-
119,Ho‘okele Elementary,LEE,No,49,50,49,45,50,13,33,30,203.3,C-
120,Kōloa Elementary,KAU,Yes,56,57,60,41,40,17,37,37,202.9,C-
121,Waihe‘e Elementary,MAUI,Yes,44,47,51,55,41,5,49,43,202.4,D+
121,Pāhoa Elementary,HAW,Yes,34,43,30,53,63,26,N/A,N/A,202.4,D+
123,Pā‘ia Elementary,MAUI,Yes,26,39,16,43,62,18,20,5,201.3,D+
123,Kahului Elementary,MAUI,Yes,44,54,40,43,48,8,49,35,201.3,D+
123,Nahi‘ena‘ena Elementary,MAU,Yes,41,47,40,42,57,19,35,45,201.3,D+
126,Kahuku Elementary,WIN,Yes,41,44,25,55,45,11,47,33,200.3,D+
127,Benjamin Parker Elementary,WIN,Yes,45,59,44,50,44,17,59,40,199.4,D+
128,‘Iliahi Elementary,CEN,Yes,57,64,68,27,37,11,22,21,199.3,D+
129,Webling Elementary,CEN,No,48,49,62,48,40,7,56,53,198.3,D+
130,‘Ewa Elementary,LEE,Yes,29,36,46,55,49,14,50,46,197.7,D+
131,Nānākuli Elementary,LEE,Yes,37,26,7,61,51,30,26,31,197.0,D+
132,Mauka Lani Elementary,LEE,Yes,40,37,62,44,46,13,39,46,196.8,D+
133,Wahiawā Elementary,CEN,Yes,35,41,37,47,50,18,41,36,196.0,D
134,Ka‘imiloa Elementary,LEE,Yes,34,38,43,50,41,9,31,40,195.7,D
135,Kekaha Elementary,KAU,Yes,45,40,48,48,50,11,48,55,195.4,D
136,Kalāheo Elementary,KAU,Yes,42,50,44,46,48,11,61,49,194.3,D
137,Kaunakakai Elementary,MAU,Yes,35,36,38,44,52,11,46,43,192.2,D
138,‘Ele‘ele Elementary,KAU,Yes,52,44,45,28,39,10,15,18,191.3,D
139,Leihōkū Elementary,LEE,Yes,31,33,61,49,44,22,38,50,190.5,D
140,Pu‘u Kukui Elementary,MAUI,Yes,45,50,55,40,43,11,58,50,189.4,D
141,Kahalu‘u Elementary,WIN,Yes,39,42,43,44,50,13,N/A,N/A,189.2,D
142,‘Aiea Elementary,CEN,Yes,16,25,21,53,59,9,N/A,N/A,187.5,D
143,Kauluwela Elementary,HON,Yes,46,43,36,53,39,17,N/A,N/A,187.2,D-
143,Likelike Elementary,HON,Yes,45,39,46,48,42,14,N/A,N/A,187.2,D-
145,Ka‘iulani Elementary,HON,Yes,20,24,16,62,53,17,N/A,N/A,187.0,D-
146,Pū‘ōhala Elementary,WIN,Yes,24,31,22,56,50,16,44,52,186.9,D-
147,Kualapu‘u Elementary,CHAR,Yes,42,23,52,49,45,8,N/A,N/A,186.2,D-
148,Mākaha Elementary,LEE,Yes,24,26,45,56,43,27,48,38,184.9,D-
149,Pālolo Elementary,HON,Yes,41,46,40,52,38,19,N/A,N/A,184.1,D-
150,Ala Wai Elementary,HON,Yes,39,41,61,40,39,14,46,50,182.9,D-
150,Kapa‘a Elementary,KAU,Yes,32,37,38,47,47,26,49,44,182.9,D-
152,Kea‘au Elementary,HAW,Yes,47,45,51,36,37,16,40,39,182.7,D-
153,Kohala Elementary,HAW,Yes,26,40,47,46,48,22,54,47,181.2,D-
154,Hilo Union Elementary,HAW,Yes,32,45,26,46,50,24,N/A,N/A,179.6,F
155,Alvah Scott Elementary,CEN,Yes,35,48,40,27,48,12,48,33,178.8,F
156,Wilcox Elementary,KAU,Yes,43,44,39,36,37,9,43,46,176.8,F
157,Waimea Elementary,HAW,Yes,33,34,54,46,37,23,53,48,174.7,F
158,Barbers Point Elementary,LEE,Yes,34,39,22,46,48,18,62,62,172.7,F
159,Nā‘ālehu Elementary,HAW,Yes,20,24,22,55,54,42,N/A,N/A,170.9,F
160,Mountain View Elementary,HAW,Yes,40,41,37,41,48,33,N/A,N/A,168.6,F
161,Wai‘anae Elementary,LEE,Yes,29,28,43,39,50,33,N/A,N/A,164.3,F
162,Keonepoko Elementary,HAW,Yes,30,39,40,35,47,28,N/A,N/A,163.2,F
163,Waiāhole Elementary,WIN,Yes,29,45,N/A,30,45,14,N/A,N/A,162.3,F
164,Nānāikapono Elementary,LEE,Yes,17,23,27,49,51,34,62,64,161.8,F
165,Hau‘ula Elementary,WIN,Yes,33,33,26,36,44,18,49,53,156.5,F
165,Mā‘ili Elementary,LEE,Yes,23,25,15,47,40,30,50,51,156.5,F
167,Kalihi Elementary,HON,Yes,18,19,19,50,40,17,N/A,N/A,152.5,F
168,Wailuku Elementary,MAUI,Yes,26,34,32,42,35,12,71,58,151.9,F
169,Ka‘ū Learning Academy,CHAR,Yes,28,35,61,34,35,5,N/A,N/A,151.6,F
170,Kealakehe Elementary,HAW,Yes,28,32,32,25,38,17,59,58,142.9,F
171,Maunaloa Elementary,MAU,Yes,34,31,N/A,30,17,28,N/A,N/A,115.8,F
